Loading pretrained word embeddings.
Loading pretrained word embeddings.
mm_batchgen...
Loading images...
Loading images takes: 7.33s

(10000, 32, 32, 3) (2000, 32, 32, 3)
Loading text...
Loading text takes: 10.07s

25000 25000
mm_dataset 0-1
mm_dataset 1-0
mm_dataset 1-1
mm_dataset 2-1
mm_dataset 1-2
mm_dataset 2-0
mm_dataset 2-2
mm_dataset 0-2
mm_dataset 0-1
mm_dataset 1-0
mm_dataset 1-1
mm_dataset 2-1
mm_dataset 1-2
mm_dataset 2-0
mm_dataset 2-2
mm_dataset 0-2
Step 145, 0-1, mm Loss: 0.281710, Accuracy:  31.250000 %
Step 146, 1-0, mm Loss: 0.279478, Accuracy:  37.500000 %
Step 147, 1-1, mm Loss: 0.196955, Accuracy:  62.500000 %
Step 148, 2-1, mm Loss: 0.133937, Accuracy:  75.000000 %
Step 149, 1-2, mm Loss: 0.142872, Accuracy:  25.000000 %
Step 150, 2-0, mm Loss: 0.199258, Accuracy:  56.250000 %
Step 151, 2-2, mm Loss: 0.069668, Accuracy:  50.000000 %
Step 152, 0-2, mm Loss: 0.215016, Accuracy:  43.750000 %
Step 153, 0-1, mm Loss: 0.279294, Accuracy:  56.250000 %
Step 154, 1-0, mm Loss: 0.251175, Accuracy:  62.500000 %
Step 155, 1-1, mm Loss: 0.209615, Accuracy:  50.000000 %
Step 156, 2-1, mm Loss: 0.142981, Accuracy:  31.250000 %
Step 157, 1-2, mm Loss: 0.133621, Accuracy:  68.750000 %
Step 158, 2-0, mm Loss: 0.207568, Accuracy:  43.750000 %
Step 159, 2-2, mm Loss: 0.068678, Accuracy:  56.250000 %
Step 160, 0-2, mm Loss: 0.209794, Accuracy:  56.250000 %
Step 161, 0-1, mm Loss: 0.285240, Accuracy:  37.500000 %
Step 162, 1-0, mm Loss: 0.256052, Accuracy:  68.750000 %
Step 163, 1-1, mm Loss: 0.203226, Accuracy:  50.000000 %
Step 164, 2-1, mm Loss: 0.147036, Accuracy:  37.500000 %
Step 165, 1-2, mm Loss: 0.126625, Accuracy:  68.750000 %
Step 166, 2-0, mm Loss: 0.231711, Accuracy:  37.500000 %
Step 167, 2-2, mm Loss: 0.066416, Accuracy:  50.000000 %
Step 168, 0-2, mm Loss: 0.206991, Accuracy:  56.250000 %
Step 169, 0-1, mm Loss: 0.280030, Accuracy:  50.000000 %
Step 170, 1-0, mm Loss: 0.267274, Accuracy:  62.500000 %
Step 171, 1-1, mm Loss: 0.191451, Accuracy:  68.750000 %
Step 172, 2-1, mm Loss: 0.139724, Accuracy:  50.000000 %
Step 173, 1-2, mm Loss: 0.134976, Accuracy:  50.000000 %
Step 174, 2-0, mm Loss: 0.192967, Accuracy:  56.250000 %
Step 175, 2-2, mm Loss: 0.067400, Accuracy:  56.250000 %
Step 176, 0-2, mm Loss: 0.211903, Accuracy:  43.750000 %
Step 177, 0-1, mm Loss: 0.279254, Accuracy:  43.750000 %
Step 178, 1-0, mm Loss: 0.258106, Accuracy:  68.750000 %
Step 179, 1-1, mm Loss: 0.216864, Accuracy:  37.500000 %
Step 180, 2-1, mm Loss: 0.134652, Accuracy:  56.250000 %
Step 181, 1-2, mm Loss: 0.143708, Accuracy:  31.250000 %
Step 182, 2-0, mm Loss: 0.192391, Accuracy:  62.500000 %
Step 183, 2-2, mm Loss: 0.064983, Accuracy:  62.500000 %
Step 184, 0-2, mm Loss: 0.211200, Accuracy:  56.250000 %
Step 185, 0-1, mm Loss: 0.288290, Accuracy:  37.500000 %
Step 186, 1-0, mm Loss: 0.273959, Accuracy:  62.500000 %
